"user_id","dt","inc_amt"
101088,2017-03-06,118.83
101090,2017-03-06,236.36
101091,2017-03-06,31.74
101092,2017-03-06,122.33
101093,2017-03-06,47.06
101095,2017-03-06,102.28
101096,2017-03-06,50.47
101097,2017-03-06,12.21
101098,2017-03-06,123.52
101099,2017-03-06,69.43
101100,2017-03-06,370.94
101102,2017-03-06,14.08
101105,2017-03-06,41.03
101106,2017-03-06,30.11
100112,2017-03-06,26.07
100150,2017-03-06,17.33
101108,2017-03-06,54.82
100932,2017-03-06,24.82
101111,2017-03-06,44.93
101112,2017-03-06,1158.33
101116,2017-03-06,30.32
101117,2017-03-06,103.2
101119,2017-03-07,18.32
101120,2017-03-07,15.33
101128,2017-03-07,29.94
101129,2017-03-07,14.13
101131,2017-03-07,128.96
101132,2017-03-07,57.57
101133,2017-03-07,143.4
101134,2017-03-07,55.79
101140,2017-03-07,98.98
101131,2017-03-07,25.19
101145,2017-03-07,23.5
101146,2017-03-07,5930.77
101148,2017-03-07,1395.16
101149,2017-03-07,243.6
101150,2017-03-07,79.66
101151,2017-03-07,44.85
101153,2017-03-07,27.8
101154,2017-03-07,88.05
101155,2017-03-07,85.68
101159,2017-03-07,270.26
100895,2017-03-07,65.79
101162,2017-03-07,80.37
101163,2017-03-07,364.16
101164,2017-03-07,53.94
101165,2017-03-07,25.31
101166,2017-03-07,17.66
101167,2017-03-07,48.81
101169,2017-03-07,79.27
101171,2017-03-07,74.76
101172,2017-03-07,17.05
100511,2017-03-07,39.53
101174,2017-03-07,21.59
101176,2017-03-07,1990.62
101178,2017-03-07,71.72
101179,2017-03-07,34.3
100664,2017-03-07,95.41
101181,2017-03-07,20.33
101185,2017-03-07,16.7
101187,2017-03-07,401.43
101188,2017-03-07,51.55
101193,2017-03-07,28.12
101194,2017-03-07,11.41
101195,2017-03-07,11.93
101196,2017-03-07,15.44
101197,2017-03-07,13.56
101202,2017-03-07,12.47
101204,2017-03-07,20.03
101207,2017-03-07,44.07
101208,2017-03-07,98.11
100450,2017-03-07,12.16
101209,2017-03-07,110.68
101210,2017-03-07,157.62
101212,2017-03-07,31.06
101214,2017-03-07,403.29
101219,2017-03-07,179.65
101220,2017-03-07,423.3
101221,2017-03-07,26.24
101223,2017-03-07,26.63
101224,2017-03-07,26.78
101228,2017-03-07,13.45
101229,2017-03-07,25.8
101231,2017-03-07,25.09
101040,2017-03-07,11.87
101234,2017-03-07,79.11
101235,2017-03-07,180.44
100520,2017-03-07,61.07
101242,2017-03-07,292.65
101245,2017-03-07,60.94
101246,2017-03-07,29.31
101247,2017-03-07,41.27
101249,2017-03-08,75.37
101253,2017-03-08,114.1
101255,2017-03-08,12.05
101260,2017-03-08,16.71
101261,2017-03-08,33.33
101262,2017-03-08,61.74
101263,2017-03-08,329.76
100398,2017-03-08,33.57
101268,2017-03-08,14.04
100538,2017-03-08,49.81
101270,2017-03-08,21.26
101271,2017-03-08,23.82
101272,2017-03-08,21.29
101273,2017-03-08,168.15
101274,2017-03-08,88.34
100088,2017-03-08,53.4
101276,2017-03-08,59.51
101280,2017-03-08,20.78
101281,2017-03-08,112.5
101282,2017-03-08,17.98
101284,2017-03-08,22.22
101285,2017-03-08,23.54
101287,2017-03-08,730.66
101289,2017-03-08,22.86
101290,2017-03-08,41.17
101293,2017-03-08,16.98
101294,2017-03-08,112.01
101295,2017-03-08,38.17
101294,2017-03-08,13.13
101297,2017-03-08,16.36
101298,2017-03-08,108.97
101301,2017-03-08,135.17
101302,2017-03-08,102.5
101303,2017-03-08,16.17
101306,2017-03-08,66.62
100090,2017-03-08,23.9
101308,2017-03-08,20.87
101309,2017-03-08,73.14
101314,2017-03-08,119.56
